MAF     RPM,    623,   771,   930,   1101,   1285,   1485,   1704,   1946,   2217,   2524,   2879,   3298,   3812,   4473,   5406,   7000
512,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
597,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
646,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
682,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
709,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
732,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
751,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
767,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
781,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
794,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
806,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
817,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
827,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
836,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
844,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
852,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
860,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
867,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
873,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
880,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
886,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
891,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
897,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
902,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
907,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
912,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
916,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
921,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
925,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
929,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
933,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
937,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
941,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
945,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
948,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
952,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
955,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
958,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
962,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
965,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
968,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
971,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
974,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
977,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
979,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
982,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
985,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
987,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
990,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
992,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
995,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
997,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
999,                ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
1002,               ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
1004,               ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
1006,               ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
1008,               ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
1010,               ,       ,     ,     ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       
